Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_157039_20240101_20240113_02_T1,LC08_L1TP_157039_20240101_20240113_02_T1,LC81570392024001LGN00,2024/01/01,T1,2, 157, 039, 157, 039,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-01 06:26:17,2024-01-01 06:26:49,LGN,DAY,   5.85,   5.85,620,5,    6.762,    3.955,    5.485,LPGS_16.3.1,32.31210058,154.96474396,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,30°18'21.74"N,61°17'25.30"E,31°20'42.29"N,60°03'09.94"E,31°22'40.55"N,62°29'23.82"E,29°13'02.03"N,60°06'56.66"E,29°14'50.68"N,62°30'03.10"E, 30.30604,  61.29036, 31.34508,  60.05276, 31.37793,  62.48995, 29.21723,  60.11574, 29.24741,  62.50086,LC08_L2SP_157039_20240101_20240113_02_T1,LC81570392024001LGN00
LC08_L2SP_157041_20240101_20240112_02_T1,LC08_L1TP_157041_20240101_20240112_02_T1,LC81570412024001LGN00,2024/01/01,T1,2, 157, 041, 157, 041,NADIR,  -0.001,2024/01/12,2024/01/12,2024-01-01 06:27:05,2024-01-01 06:27:37,LGN,DAY,  18.12,  18.12,654,5,    6.368,    3.532,    5.299,LPGS_16.3.1,34.69744435,153.59613152,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,27°25'52.28"N,60°33'06.55"E,28°28'04.84"N,59°20'36.02"E,28°30'40.07"N,61°42'48.46"E,26°20'07.26"N,59°24'46.66"E,26°22'29.03"N,61°44'16.84"E, 27.43119,  60.55182, 28.46801,  59.34334, 28.51113,  61.71346, 26.33535,  59.41296, 26.37473,  61.73801,LC08_L2SP_157041_20240101_20240112_02_T1,LC81570412024001LGN00
LC08_L2SP_157042_20240101_20240113_02_T1,LC08_L1TP_157042_20240101_20240113_02_T1,LC81570422024001LGN00,2024/01/01,T1,2, 157, 042, 157, 042,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-01 06:27:29,2024-01-01 06:28:01,LGN,DAY,  16.99,  14.55,725,5,    6.319,    3.816,    5.037,LPGS_16.3.1,35.87763413,152.87482333,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,41,WGS84,WGS84,25°59'33.83"N,60°11'35.38"E,27°01'39.04"N,58°59'43.87"E,27°04'28.96"N,61°20'13.16"E,24°53'43.01"N,59°04'01.78"E,24°56'17.66"N,61°22'00.55"E, 25.99273,  60.19316, 27.02751,  58.99552, 27.07471,  61.33699, 24.89528,  59.06716, 24.93824,  61.36682,LC08_L2SP_157042_20240101_20240113_02_T1,LC81570422024001LGN00
LC09_L2SP_149035_20240101_20240105_02_T1,LC09_L1TP_149035_20240101_20240101_02_T1,LC91490352024001LGN00,2024/01/01,T1,2, 149, 035, 149, 035,NADIR,   0.000,2024/01/05,2024/01/01,2024-01-01 05:35:25,2024-01-01 05:35:57,LGN,DAY,   3.21,   3.21,506,5,    8.490,    6.080,    5.925,LPGS_16.3.1,27.46538641,157.49179986,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,36°02'35.45"N,75°12'49.39"E,37°05'27.10"N,73°55'03.14"E,37°05'10.10"N,76°30'47.88"E,34°58'33.96"N,73°56'45.96"E,34°58'18.26"N,76°28'24.17"E, 36.04318,  75.21372, 37.09086,  73.91754, 37.08614,  76.51330, 34.97610,  73.94610, 34.97174,  76.47338,LC09_L2SP_149035_20240101_20240105_02_T1,LC91490352024001LGN00
LC09_L2SP_149036_20240101_20240105_02_T1,LC09_L1TP_149036_20240101_20240101_02_T1,LC91490362024001LGN00,2024/01/01,T1,2, 149, 036, 149, 036,NADIR,   0.000,2024/01/05,2024/01/01,2024-01-01 05:35:49,2024-01-01 05:36:21,LGN,DAY,   3.94,   3.94,725,5,    7.950,    5.455,    5.784,LPGS_16.3.1,28.68776772,156.89189273,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,34°36'38.95"N,74°48'15.16"E,35°39'21.74"N,73°31'34.68"E,35°39'36.94"N,76°04'29.89"E,33°32'18.20"N,73°33'47.70"E,33°32'32.24"N,76°02'52.84"E, 34.61082,  74.80421, 35.65604,  73.52630, 35.66026,  76.07497, 33.53839,  73.56325, 33.54229,  76.04801,LC09_L2SP_149036_20240101_20240105_02_T1,LC91490362024001LGN00
LC09_L2SP_149037_20240101_20240105_02_T1,LC09_L1TP_149037_20240101_20240101_02_T1,LC91490372024001LGN00,2024/01/01,T1,2, 149, 037, 149, 037,NADIR,  -0.001,2024/01/05,2024/01/01,2024-01-01 05:36:13,2024-01-01 05:36:45,LGN,DAY,  41.17,  41.17,504,5,    6.883,    4.408,    5.286,LPGS_16.3.1,29.90479007,156.27667145,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,33°10'36.66"N,74°24'17.28"E,34°13'11.64"N,73°08'29.26"E,34°13'56.10"N,75°39'09.29"E,32°06'07.78"N,73°11'08.23"E,32°06'48.78"N,75°38'13.42"E, 33.17685,  74.40480, 34.21990,  73.14146, 34.23225,  75.65258, 32.10216,  73.18562, 32.11355,  75.63706,LC09_L2SP_149037_20240101_20240105_02_T1,LC91490372024001LGN00
LC09_L2SP_149038_20240101_20240105_02_T2,LC09_L1GT_149038_20240101_20240101_02_T2,LC91490382024001LGN00,2024/01/01,T2,2, 149, 038, 149, 038,NADIR,   0.000,2024/01/05,2024/01/01,2024-01-01 05:36:37,2024-01-01 05:37:08,LGN,DAY, 100.00, 100.00,-1,5,    0.000,    0.000,    0.000,LPGS_16.3.1,31.11552624,155.64476369,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,43,WGS84,WGS84,31°44'31.34"N,74°00'54.83"E,32°46'57.65"N,72°46'06.17"E,32°48'08.42"N,75°14'17.48"E,30°39'44.06"N,72°49'07.14"E,30°40'49.22"N,75°13'58.15"E, 31.74204,  74.01523, 32.78268,  72.76838, 32.80234,  75.23819, 30.66224,  72.81865, 30.68034,  75.23282,LC09_L2SP_149038_20240101_20240105_02_T2,LC91490382024001LGN00
LC08_L2SP_148036_20240102_20240113_02_T1,LC08_L1TP_148036_20240102_20240113_02_T1,LC81480362024002LGN00,2024/01/02,T1,2, 148, 036, 148, 036,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-02 05:29:27,2024-01-02 05:29:59,LGN,DAY,   2.13,   2.13,468,5,    9.303,    6.363,    6.787,LPGS_16.3.1,28.71856870,156.71955219,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,43,WGS84,WGS84,34°36'38.66"N,76°22'07.25"E,35°39'44.24"N,75°07'25.46"E,35°37'59.66"N,77°38'53.38"E,33°33'46.48"N,75°07'14.41"E,33°32'09.67"N,77°34'56.64"E, 34.61074,  76.36868, 35.66229,  75.12374, 35.63324,  77.64816, 33.56291,  75.12067, 33.53602,  77.58240,LC08_L2SP_148036_20240102_20240113_02_T1,LC81480362024002LGN00
LC08_L2SP_148037_20240102_20240113_02_T1,LC08_L1TP_148037_20240102_20240113_02_T1,LC81480372024002LGN00,2024/01/02,T1,2, 148, 037, 148, 037,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-02 05:29:51,2024-01-02 05:30:23,LGN,DAY,   4.96,   4.96,687,5,    7.722,    5.113,    5.787,LPGS_16.3.1,29.93300216,156.10186979,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,43,WGS84,WGS84,33°10'37.16"N,75°58'09.84"E,34°13'41.84"N,74°44'14.06"E,34°12'30.38"N,77°13'18.70"E,32°07'22.87"N,74°44'36.42"E,32°06'16.88"N,77°10'09.84"E, 33.17699,  75.96940, 34.22829,  74.73724, 34.20844,  77.22186, 32.12302,  74.74345, 32.10469,  77.16940,LC08_L2SP_148037_20240102_20240113_02_T1,LC81480372024002LGN00
LC08_L2SP_148038_20240102_20240113_02_T1,LC08_L1TP_148038_20240102_20240113_02_T1,LC81480382024002LGN00,2024/01/02,T1,2, 148, 038, 148, 038,NADIR,  -0.001,2024/01/13,2024/01/13,2024-01-02 05:30:15,2024-01-02 05:30:47,LGN,DAY,  81.73,  81.73,158,5,    6.652,    4.397,    4.991,LPGS_16.3.1,31.14123686,155.46710154,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,43,WGS84,WGS84,31°44'31.70"N,75°34'46.85"E,32°47'24.40"N,74°21'37.08"E,32°46'43.32"N,76°48'27.72"E,30°41'04.06"N,74°22'28.60"E,30°40'26.18"N,76°46'02.21"E, 31.74214,  75.57968, 32.79011,  74.36030, 32.77870,  76.80770, 30.68446,  74.37461, 30.67394,  76.76728,LC08_L2SP_148038_20240102_20240113_02_T1,LC81480382024002LGN00
